,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10
gen__A509xA637,2.088939552554896,2.7634222105423984,2.7986385573433843,2.2903179376983003,1.5328745325702366,-0.8280434268929019,-0.3437586420269404,0.09642812439529677,-0.08575899905175507,0.3038640930938153
gen__A509xA661,1.8278066228543397,1.7271505745359572,0.6996053504236361,-0.5723909888727946,-1.341716613027214,1.3454845170337517,0.8603150618965076,-0.3368843525539448,0.39828931906577486,-1.0582079353637295
gen__A509xCM105,1.566548727674563,0.9376756397859983,-0.19979693760407527,-0.571948287795582,0.1639531928289745,-1.1392643167543994,-1.375607181701254,0.8170004778065307,-0.8940174986620454,1.4737469404880916
gen__A509xEP28,1.3057985806195105,0.3953562151497173,-0.24931817193813893,0.38388990803944567,1.1226060593882765,-0.5190949200209867,0.8348637511774439,-1.2000521459337259,1.3760745251716628,-1.0183023381242053
gen__A509xEP31,1.0444531640754968,0.09870958684010893,0.19936451420016335,1.0683344721607153,0.5475210292508527,0.7253933551687225,0.22744014070644925,1.2209702360490018,-1.344432428052076,-0.34996037815407677
gen__A509xEP42,0.7833184050173526,0.04932094219650175,0.7992622717445418,0.9522928572184002,-0.4104199950190598,0.1046132841716627,-0.97837473590168,-0.8012788043431465,0.9043348896863558,1.012868721805368
gen__A509xF7,0.522313746520726,0.24645111310905515,1.1989259691109249,0.18945048487171498,-0.27364844825560886,-0.9600093560568385,0.685486043830031,0.3543562263628009,-0.37962570161422043,-0.8765151959056074
gen__A509xPB60,0.26106730806229067,0.6908011045516194,1.0495626105144722,-0.3808781742196988,0.9586793860524986,0.4135785279927477,-0.29885514187281675,-0.07425247853759911,0.11220510931772902,0.2587986200312209
gen__A509xZ77016,-9.032009628871028e-05,1.3811600442956482,0.0003798173410036987,0.7625001959372899,-0.0005645570568107084,-0.20646201895160704,-1.4821982407662655e-05,0.01903142441152235,-0.004094891192879973,-0.09189863723402314
gen__A637xA661,1.5667203264197562,1.0363112038085318,-0.34966326281909105,-1.7173809308149184,-2.298829181726168,1.965685069258197,1.1623771252614703,-0.43215884447003516,0.29566441913739416,-0.7180323071043403
gen__A637xCM105,1.3056378506498494,0.24705974950032203,-1.2490376987828626,-1.717061350764375,-0.793391800692969,-0.5176790528918754,-1.0760533516097177,0.722290441259928,-1.0043732862932928,1.8133335845524177
gen__A637xEP28,1.0441181982325956,-0.2968972305170657,-1.3000704119276265,-0.7658229748093152,0.16356835590198235,0.10577923202591968,1.130419480100564,-1.3008186964066277,1.2466575344462034,-0.7026320585508683
gen__A637xEP31,0.7835172242229286,-0.5917688954113853,-0.8493138439269952,-0.07589928206352875,-0.41004709904485653,1.3452942535557746,0.5311831563837259,1.1251379583195593,-1.4477658059868441,-0.000304636994794065
gen__A637xEP42,0.5221128865719217,-0.6416855183059811,-0.24984192315446732,-0.1907773883281257,-1.3688443949523008,0.7242966133920096,-0.6725032608267472,-0.8938702903101955,0.809969203088942,1.3680186594234744
gen__A637xF7,0.26113985855743466,-0.44423646289071717,0.1497739924395873,-0.9538397117985697,-1.2329187999692575,-0.34097435146913097,0.9903421484863177,0.26173428861134046,-0.4816437551407277,-0.5246972567096071
gen__A637xPB60,6.286808789657214e-05,0.0002802218697791267,-0.0002577909976861909,-1.5272743081522808,0.00030341637038295416,1.0350082168656247,-0.0019132760817813137,-0.17467650979213922,-0.005133891532991417,0.5894984513844607
gen__A637xZ77016,-0.26098870883363223,0.6908917634293555,-1.0492314258037636,-0.38080234011824055,-0.9576870872021087,0.41369454270745804,0.3012808943845858,-0.07762459348574853,-0.1085549681650788,0.2524591867772935
gen__A661xCM105,1.0445672771661576,-0.19777543612439677,-1.39967013279194,-1.146080322529725,0.43781696059136,-1.8912032408906352,-2.065871563806055,1.1539778240343386,-0.5164144720980564,0.6923082879623893
