male,Cos2_Dim_1,Cos2_Dim_2,Cos2_Dim_3,Cos2_Dim_4,Cos2_Dim_5
A509,0.6367346938775517,0.24761904761904724,0.08571428571428553,0.02448979591836742,0.005442176870748311
A637,0.5244050020169426,5.759237510825292e-31,0.138362242839854,0.20653489310205755,0.13069786204114575
A661,0.13829787234042587,0.35562310030395144,0.38905775075987786,0.021276595744681062,0.09574468085106388
CM105,0.029323308270676727,0.6292875044754745,0.04640171858216979,0.16240601503759367,0.1325814536340854
EP28,0.34004708344232293,0.3886252382197979,0.07566981801875816,0.1695003923620194,0.026157467957101818
EP31,0.6056572379367725,0.05650446534687092,0.2227919453971267,3.9639895718879627e-32,0.1150463513192297
EP42,0.7437070938215106,0.02360974901020674,0.11801242236024843,0.11441647597253972,0.00025425883549452495
F7,0.628972230174635,0.20841683366733488,0.002004008016032006,0.05725737188663043,0.10334955625536779
PB60,0.36619718309859195,0.3204225352112678,0.19718309859154884,0.08802816901408447,0.028169014084507064
