Dimension,Valeur_Propre,Inertie (%),Inertie_Cumulee (%)
1,0.6249999922482522,3.906249951551374,3.906249951551374
2,0.5833333025593402,3.6458331409956877,7.552083092547061
3,0.5624999598591,3.5156247491191928,11.067707841666254
4,0.5499997664926336,3.4374985405787823,14.505206382245035
5,0.5416665898189802,3.385416186368451,17.890622568613487
6,0.5357140874715454,3.3482130466969853,21.23883561531047
7,0.5312492530806584,3.320307831753943,24.559143447064415
8,0.5277771798214501,3.298607373883893,27.857750820948308
9,0.4722182994650392,2.951364371656342,30.80911519260465
10,0.46874483758335733,2.929655234895832,33.738770427500484
