male,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5
A509,-0.603022689155527,0.37605071654517686,-0.22124883943435447,0.11826247919781659,0.05574946733380606
A637,-0.3768891807222045,3.949687652148786e-16,0.1935927345050599,-0.23652495839563312,-0.18815445225159544
A661,-0.15075567228888181,-0.24174688920761384,0.2528558164964051,-0.05913123959890848,0.1254363015010635
CM105,0.07537783614444096,-0.3491899510776649,0.09482093118615219,0.17739371879672464,0.16027971858469253
EP28,0.3015113445777635,-0.3223291856101521,-0.1422313967792276,0.21287246255606965,-0.08362420100070914
EP31,0.5276448530110862,-0.16116459280507603,-0.32002064275326275,1.3498779458282048e-16,-0.22996655275194966
EP42,0.7537783614444092,0.13430382733756357,-0.30026628208948164,-0.2956561979945409,0.013937366833451282
F7,0.9799118698777318,0.5640760748177666,0.055312209858587924,-0.2956561979945414,0.397214954753368
PB60,1.2060453783110545,1.1281521496355322,0.8849953577374181,0.5913123959890823,-0.33449680400283627
